Green Bay
Cal State Fullerton
New Hampshire
Southeast Missouri State
Maryland-Eastern Shore
Central Michigan
Austin Peay
Pensylvania
West Virginia
North Dakota
NotreDame
Sam Houston State
Boston University
UCLA
Wyoming
Virginia Commonwealth
Houston
Wofford
San Francisco
St. Francis (NY)
Hartford
Citadel
Wichita State
Georgetown
UMBC
Southern University
Kentucky
Columbia
South Florida
South Dakota
Loyola (IL)
La Salle
Davidson
Prairie View A&M
Indiana
Louisiana-Lafayette
LIU Brooklyn
Ole Miss
Washington
San Jose State
Virginia
Vanderbilt
Northern Illinois
Seattle
St Peter's
Maine
Bethune-Cookman
Hofstra
Tennessee-Martin
Western Michigan
IPFW
Manhattan
Oral Roberts
Milwaukee
Detroit
Idaho
Eastern Michigan
Old Dominion
Indiana State
Virginia Military
Montana State
Kansas
St. John's
Louisiana Tech
Massachusetts
Georgia State
James Madison
Stanford
RhodeIsland
SIU-Edwardsville
Navy
North Carolina A&T
Albany
East Carolina
Seton Hall
Texas A&M
Louisiana-Monroe
Cal State Bakersfield
Washington State
Oregon State
Miami (OH)
UAB
Iowa State
Utah
PennState
Yale
Duke
Utah State
UCF
Mount St. Mary's
Cornell
Buffalo
San Diego
Georgia
Bradley
North Florida
Gonzaga
Florida Atlantic
N.J.I.T.
Iowa
Jacksonville State
Air Force
Southeastern Louisiana
Utah Valley
Drake
Longwood
Central Connecticut State
Connecticut
Northern Colorado
Marist
Arizona
Colgate
Campbell
Clemson
Pepperdine
Creighton
Liberty
Georgia Tech
Harvard
UMKC
DePaul
Marshall
Wake Forest
Canisius
Belmont
LSU
Nevada
Georgia
Illinois State
North Carolinan
UC Davis
Loyola Marymount
Temple
UC Riverside
McNeese State
Incarnate Word
Northern Iowa
Tennessee
Northern Kentucky
Furman
New Orleans
George Mason
Tulane
Charleston
Tennessee State
Nebraska-Omaha
Howard
Quinnipiac
Mississippi Valley State
Oklahoma
International
